Fool","Arsène","Arsène Lupin, sometimes known as Raoul, is a fictional gentleman thief created by Maurice Leblanc. He was known for targeting criminals or those who were much worse than himself, making him an anti-hero of sorts within his own stories. He might have been partly inspired by the French anarchist Marius Jacob."
Fool","Obariyon","The Obariyon is a Japanese ""piggyback demon"" from local folklore. While a person is walking along a woodland or grassy path, the obariyon may jump out and attach itself to their back. While it cannot be seen, its weight can be felt by the person, and it becomes harder to walk. The obariyon cannot be easily removed without the use of magic, but it is said if you can remove it and take it home, it will turn into many valuable gold coins."
Fool","High Pixie","High Pixies are high ranking pixies that act as leaders or commanders of younger pixies. Generally, a charismatic pixie can obtain this rank from proving its skill and loyalty. They watch over the younger pixies as guardians, and ensure they are kept out of danger, although they are every bit as mischievous as their younger counterparts. They are charged with guarding the ruins and caves where other pixies dwell."
Fool","Izanagi","Izanagi (伊邪那岐, 伊弉諾) is a Japanese creation deity born of the seven divine generations in Japanese mythology. He is also referred to in various chronicles such as the Kojiki and Nihon Shiki as Izanagi-no-Mikoto (伊邪那岐命, 伊弉諾尊), the ""male-who-invites."""
Fool","Izanagi","Izanagi (伊邪那岐, 伊弉諾) is a Japanese creation deity born of the seven divine generations in Japanese mythology. He is also referred to in various chronicles such as the Kojiki and Nihon Shiki as Izanagi-no-Mikoto (伊邪那岐命, 伊弉諾尊), the ""male-who-invites."""
Fool","Orpheus","In Greek mythology, Orpheus was the son of Thracian king Oeagrus and the muse Calliope (some versions have Orpheus' father as the god Apollo). Apollo, fond of Orpheus, gave him a small golden lyre, which he quickly mastered. Taught to sing verses by his mother, Orpheus was so skilled at making music that he was called ""Master of Strings"" and ""Father of Songs,"" capable of such music that even rocks and animals would be compelled to dance."
Fool","Orpheus","In Greek mythology, Orpheus was the son of Thracian king Oeagrus and the muse Calliope (some versions have Orpheus' father as the god Apollo). Apollo, fond of Orpheus, gave him a small golden lyre, which he quickly mastered. Taught to sing verses by his mother, Orpheus was so skilled at making music that he was called ""Master of Strings"" and ""Father of Songs,"" capable of such music that even rocks and animals would be compelled to dance."
Fool","Decarabia","Decarabia, also known as Carabia, is the sixty-ninth demonic spirit listed in the Ars Goetia, according to the writings in the Lesser Key of Solomon. Although he has no title in the Pseudomonarchia Daemonum, he does in the Lesser Key of Solomon where he is a Great Marquis of Hell and has thirty legions of demons under his command."
Fool","Legion","Legion is a collection of demons which was referred in Christian literature. While the types of demons that make up Legion is unknown, they are purportedly said to be the same kind of demon that would inhabit a host and would have a single hive mind. The general form is a floating sphere composed of numerous featureless faces that acts as a shell concealing a center core of varying identity."
Fool","Ose","Ose, also known as Osé, Oze, Oso or Voso, is the 57th demonic spirit of the Ars Goetia and a great president of Hell. He first appears as a leopard, but after some time will take the form of a man. He gives skill in all liberal sciences and true answers concerning divine and secret things. He can change any men into any shape the exorcist may desire, and the one that is changed will not know it."
Fool","Bugbear","Bugbear, or simply Bugs, is a type of hobgoblin that is comparable to the boogeyman (bugaboo) in folklore. In lore, the bugbear was depicted as a creepy bear that lurked in the woods to scare children. Bugbear was used to frighten children into behaving or obeying their parents."
Fool","Crystal Skull (Treasure Demon)","The Crystal Skulls were once believed to be pre-Columbian Mesoamerican artifacts. When all 13 skulls are closely gathered it is said to reveal the mysteries of the universe. However, no Crystal Skulls have ever actually been excavated by archaeological digs in the Americas and the skulls first found in the 1800's were likely manufactured in Europe by imported Brazilian quartz. They were likely made simply to capitalize on the growing fascination in artifacts from the New World."
Fool","Dionysus","Dionysus is the ancient Greek god of wine, wine cups, wineskins, grapes and fertility. He inspires ritual madness, joyful worship, ecstasy, carnivals and celebration. He is sometimes included as one of the twelve Olympians. He was also known as Bacchus, the name adopted and used by the Romans to describe the frenzy he induced, bakkheia. In addition to wine-making, he is the patron deity of agriculture and the theater. Hailed as an Asiatic foreigner, he was thought to have had strong ties to the East and to Ethiopia in the South. He was also known as the Liberator, freeing one from one's normal self, by madness, ecstasy or wine. The divine mission of Dionysus was to mingle the music of the aulos and to bring an end to care and worry. Scholars have discussed Dionysus' relationship to the ""cult of the souls"" and his ability to preside over communication between the living and the dead."
Fool","Black Frost","Black Frost is Atlus' evil rendition of the more good-spirited demon Jack Frost. The word ja'aku in its Japanese name when written in kanji (邪悪) means ""wicked"" or ""evil,"" hence its dark characteristics."
Fool","Vishnu","Vishnu, rarely known as Adideva, is one of the primary deities in the Hindu pantheon. He is called The Preserver and is known for a kindly demeanor and genuine interest in the welfare of humanity. In the Hindu religion, Vishnu the Preserver is one of the three principle deities of the Trimurti (Hindu male Triad) along with Brahma, the Creator, and Shiva, the Destroyer. He was first seen in early Vedic mythology as the god that assisted Indra in defeating Vritra and is now the supreme deity within Vaishnavism, a branch of Hinduism that focuses on the worship of Vishnu. As the preserver, Vishnu maintains balance within the world, and at the end of our current aeon he will appear as his final avatar Kalki and judge whether mortals have been good or evil. After this, the universe will end and creation will start anew. He is depicted with up to four arms, blue skin, holding a chakra wheel, a lotus flower, a mace and a conch, and rides on the back of Garuda. He also sleeps on the back of a great Naga named Ananta Shesha."
Fool","Satanael","Satanael, also known as Sataniel or Satanail, is an archangel mentioned in the second Book of Enoch that lead the fallen angels that rebelled against God, by refusing to bow to the human Enoch, leading to his imprisonment. Due to his name and role, he is considered an interpretation of Lucifer."
